Person_ID,Task_Difficulty (1-5),Task_ID,Person_Skill_Task1 (1-5),Person_Skill_Task2 (1-5),Person_Skill_Task3 (1-5),Person_Skill_Task4 (1-5),Completion_Score (0-100)
D,1,2,1,2,4,3,83
D,1,4,2,2,5,2,100
D,3,3,2,1,5,3,49
D,3,2,2,3,5,2,64
D,5,3,1,2,5,2,54
D,4,1,2,2,5,1,52
D,2,2,1,2,5,2,62
D,5,3,3,3,5,3,64
D,4,1,2,1,5,3,56
D,1,4,1,3,4,2,95
D,5,2,3,3,5,1,35
D,4,2,1,2,4,3,70
D,5,4,3,1,4,1,74
D,5,2,2,3,4,3,60
D,2,3,1,3,4,3,72
D,5,4,2,2,4,1,68
D,2,2,1,1,5,1,53
D,1,1,2,3,4,2,68
D,4,4,2,1,5,2,88
D,2,4,3,1,5,2,95
D,2,2,3,3,5,2,68
D,3,4,1,2,5,1,88
D,2,4,2,2,4,1,80
D,3,2,3,3,4,3,68
D,1,4,3,3,5,2,99
D,2,3,2,1,4,1,54
D,4,4,1,3,4,1,78
D,2,4,1,1,4,2,88
D,5,4,3,2,4,1,66
D,1,1,2,3,5,3,66
D,5,2,2,2,4,2,49
D,3,2,2,2,5,2,61
D,3,3,2,3,5,3,65
D,4,2,3,1,5,3,65
D,3,4,3,1,5,2,93
D,3,1,2,2,5,3,62
