person_id,task_difficulty,task_id,skill_1,skill_2,skill_3,skill_4,score,predicted_score,penalty_triggered,round
A,2,1,4.640944812512262,2.021215017963534,2.10262473583391,2.037126765634056,84.58686828613281,81.39359,False,15
B,1,3,2.0099683872233993,2.092093565177441,2.020251826273953,4.5195975532689685,71.99999237060547,68.679634,False,15
C,3,3,1.944968387223399,4.620237333134822,2.077251977863443,2.199453633722098,80.02052307128906,80.3808,False,15
D,2,1,2.0629367015872195,2.0759873331348233,4.605987333134822,2.036999964086897,55.16719055175781,55.178177,False,15
A,3,1,4.649747345885298,2.023415651306793,2.104825369177169,2.039327398977315,81.4888687133789,77.99709,False,16
B,4,2,2.0121690205666583,2.1008960985504763,2.0224524596172118,4.521798186612227,58.668764932365754,77.882675,True,16
C,1,3,1.9471690205666579,4.622437966478081,2.0860545112364783,2.201654267065357,86.0078125,83.197464,False,16
D,5,4,2.0651373349304785,2.0781879664780822,4.608187966478081,2.0458024974599325,24.83281859844712,70.98233,True,16
A,5,3,4.651837947561393,2.025506252982889,2.1131877758815523,2.041418000653411,27.79207992433368,47.28699,True,17
B,5,2,2.0142596222427542,2.10925850525486,2.0245430612933077,4.523888788288323,31.74208987169517,71.291306,True,17
C,3,3,1.9492596222427538,4.624528568154177,2.094416917940862,2.203744868741453,78.6134262084961,80.3808,False,17
D,4,4,2.0672279366065744,2.080278568154178,4.610278568154176,2.054164904164316,58.101826743002114,77.82217,True,17
A,4,1,4.6597822339305575,2.02749232457518,2.1151738474738435,2.043404072245702,75.74505615234375,75.93441,False,18
B,5,2,2.0162456938350455,2.1172027916240244,2.026529132885599,4.525874859880614,22.639057357193494,71.291306,True,18
C,1,2,1.9512456938350449,4.632472854523341,2.096402989533153,2.205730940333744,64.0743637084961,65.91968,False,18
D,2,4,2.0692140081988657,2.0822646397464695,4.612264639746467,2.0621091905334805,82.87527465820312,88.371445,False,18
A,1,1,4.667329305981264,2.0293790925878565,2.11706061548652,2.0452908402583785,85.25570678710938,83.99645,False,19
B,3,2,2.018132461847722,2.1247498636747304,2.0284159008982754,4.52776162789329,75.48698425292969,80.1487,False,19
C,4,3,1.9531324618477215,4.634359622536017,2.103950061583859,2.2076177083464206,57.075644514979615,76.048416,True,19
D,2,4,2.071100776211542,2.084151407759146,4.6141514077591435,2.0696562625841866,82.48185729980469,88.371445,False,19
A,1,1,4.674499024429434,2.0311715221998994,2.1188530450985628,2.0470832698704213,85.04075622558594,83.99645,False,20
B,3,1,2.025302180295893,2.1265422932867732,2.0302083305103182,4.529554057505333,56.9627799987793,53.529297,False,20
C,1,3,1.9549248914597641,4.63615205214806,2.11111978003203,2.2094101379584634,84.92706298828125,83.197464,False,20
D,5,4,2.072893205823585,2.0859438373711887,4.615943837371186,2.0768259810323575,27.670636651233718,70.98233,True,20
A,5,1,4.6813102569551965,2.03287433033134,2.1205558532300035,2.048786078001862,67.89730072021484,74.588745,False,21
B,4,2,2.0270049884273336,2.1333535258125353,2.031911138641759,4.531256865636774,56.761137652014966,77.882675,True,21
C,3,3,1.9566276995912046,4.637854860279501,2.117931012557792,2.211112946089904,76.17376708984375,80.3808,False,21
D,3,1,2.079704438349347,2.0876466455026295,4.617646645502627,2.0785287891637982,52.20351791381836,54.449196,False,21
A,1,2,4.682927924680065,2.0393450012308145,2.122173520954872,2.050403745726731,67.89840698242188,61.704597,False,22
B,1,2,2.0286226561522023,2.1398241967120097,2.0335288063666277,4.5328745333616425,81.98552703857422,78.01848,False,22
C,1,4,1.9582453673160731,4.63947252800437,2.119548680282661,2.2175836169893786,76.5322265625,73.56107,False,22
D,3,4,2.0813221060742157,2.089264313227498,4.619264313227496,2.0849994600632726,76.42417907714844,84.0758,False,22
A,1,1,4.689075062034566,2.0408817855694394,2.123710305293497,2.0519405300653557,84.3194580078125,83.99645,False,23
B,4,2,2.030159440490827,2.1459713340665103,2.0350655907052526,4.534411317700267,56.07409950862468,77.882675,True,23
C,1,3,1.9597821516546983,4.6410093123429945,2.1256958176371614,2.2191204013280035,84.01646423339844,83.197464,False,23
D,2,4,2.0828588904128407,2.090801097566123,4.620801097566121,2.091146597417773,80.95321655273438,88.371445,False,23
A,5,4,4.690535007156259,2.0423417306911333,2.125170250415191,2.0577803105521313,25.857880732619876,46.185944,True,24
B,2,2,2.031619385612521,2.151811114553286,2.0365255358269465,4.535871262821961,77.43339538574219,79.60584,False,24
C,1,3,1.9612420967763922,4.642469257464688,2.131535598123937,2.2205803464496974,83.6816177368164,83.197464,False,24
D,1,4,2.0843188355345346,2.092261042687817,4.622261042687814,2.096986377904549,83.7376480102539,90.206245,False,24
A,4,1,4.696082798618696,2.0437286785567426,2.1265571982808003,2.0591672584177405,72.35565948486328,75.93441,False,25
B,4,2,2.0330063334781303,2.1573589060157228,2.0379124836925557,4.53725821068757,55.44612251001879,77.882675,True,25
C,3,3,1.9626290446420014,4.643856205330297,2.137083389586374,2.2219672943153066,74.07479858398438,80.3808,False,25
D,2,2,2.085705783400144,2.097808834150254,4.623647990553423,2.098373325770158,57.26093673706055,55.193363,False,25
A,5,1,4.701353200508011,2.045046279029071,2.127874798753129,2.060484858890069,65.8153305053711,74.588745,False,26
B,3,2,2.034323933950459,2.162629307905038,2.0392300841648843,4.538575811159899,72.30422973632812,80.1487,False,26
C,2,4,1.9639466451143301,4.645173805802626,2.1384009900587024,2.2272376962046216,70.87457275390625,68.2095,False,26
D,3,4,2.0870233838724723,2.0991264346225824,4.624965591025752,2.103643727659473,74.4821548461914,84.0758,False,26
A,4,1,4.706360082302861,2.0462979994777832,2.129126519201841,2.061736579338781,71.51498413085938,75.93441,False,27
B,1,3,2.035575654399171,2.16388102835375,2.0442369659597333,4.539827531608611,72.5132827758789,68.679634,False,27
C,5,3,1.9651983655630425,4.646425526251338,2.1434078718535514,2.2284894166533338,15.203209698801754,71.73625,True,27
D,4,3,2.0882751043211845,2.1003781550712946,4.629972472820602,2.104895448108185,52.884063720703125,55.005444,False,27
A,3,4,4.707549216729137,2.0474871339040597,2.1303156536281174,2.066493117043888,55.10739517211914,50.901417,False,28
B,3,2,2.0367647888254474,2.1686375660588566,2.0454261003860097,4.541016666034888,71.50868225097656,80.1487,False,28
C,3,3,1.9663874999893192,4.647614660677615,2.148164409558658,2.22967855107961,72.7081298828125,80.3808,False,28
D,3,4,2.089464238747461,2.101567289497571,4.631161607246878,2.109651985813292,73.5635986328125,84.0758,False,28
A,1,1,4.712067927548988,2.0486168116090226,2.1314453313330803,2.067622794748851,82.72613525390625,83.99645,False,29
B,2,4,2.0378944665304104,2.1697672437638196,2.0465557780909727,4.545535376854739,61.774715423583984,68.49736,False,29
C,1,4,1.967517177694282,4.648744338382578,2.149294087263621,2.2341972618994617,76.76177215576172,73.56107,False,29
D,4,4,2.090593916452424,2.102696967202534,4.632291284951841,2.1141706966331433,53.73848464554888,77.82217,True,29
A,1,1,4.7163607028278465,2.0496900054287375,2.132518525152795,2.0686959885685656,82.451171875,83.99645,False,30
B,2,2,2.038967660350125,2.1740600190426784,2.0476289719106875,4.5466085706744535,75.05708312988281,79.60584,False,30
C,4,3,1.9685903715139965,4.6498175322022925,2.15358686254248,2.2352704557191765,53.33802883977948,76.048416,True,30
D,4,3,2.0916671102721387,2.103770161022249,4.6365840602307,2.115243890452858,52.7375602722168,55.005444,False,30
A,2,1,4.720438839342762,2.0507095395574666,2.1335380592815243,2.0697155226972948,79.10356140136719,81.39359,False,31
B,2,4,2.0399871944788543,2.1750795531714076,2.0486485060394166,4.550686707189369,61.6816291809082,68.49736,False,31
C,1,4,1.9696099056427254,4.650837066331022,2.154606396671209,2.239348592234092,76.79811096191406,73.56107,False,31
D,4,4,2.092686644400868,2.104789695150978,4.637603594359429,2.1193220269677737,53.13013125504107,77.82217,True,31
A,5,1,4.724313069031932,2.0516780969797592,2.134506616703817,2.0706840801195874,63.7869987487793,74.588745,False,32
B,4,1,2.0438614241680244,2.1760481105937,2.0496170634617092,4.551655264611662,43.07853195824954,50.056854,True,32
C,1,3,1.9705784630650178,4.651805623753314,2.158480626360379,2.2403171496563847,81.02987670898438,83.197464,False,32
D,3,4,2.0936552018231604,2.1057582525732705,4.638572151781721,2.123196256656944,71.87228393554688,84.0758,False,32
A,3,1,4.727993587236643,2.0525982265309373,2.135426746254995,2.0716042096707654,74.24368286132812,77.99709,False,33
B,1,4,2.0447815537192024,2.176968240144878,2.0505371930128873,4.555335782816373,67.43628692626953,72.56792,False,33
C,3,3,1.9714985926161956,4.652725753304492,2.162161144565091,2.2412372792075628,70.7350845336914,80.3808,False,33
D,4,4,2.0945753313743385,2.1066783821244486,4.639492281332899,2.1268767748616555,52.57993990455748,77.82217,True,33
A,3,2,4.728867710310262,2.0560947188254133,2.136300869328614,2.0724783327443843,57.096961975097656,56.032825,False,34
B,4,2,2.0456556767928213,2.1804647324393542,2.051411316086506,4.556209905889992,53.16185979867153,77.882675,True,34
C,1,3,1.9723727156898145,4.653599876378111,2.165657636859567,2.2421114022811817,80.33934020996094,83.197464,False,34
D,4,4,2.0954494544479574,2.1075525051980675,4.640366404406518,2.1303732671561315,52.31571518463513,77.82217,True,34
A,2,1,4.732189377990014,2.0569251357453515,2.137131286248552,2.0733087496643225,77.71528625488281,81.39359,False,35
B,1,4,2.0464860937127596,2.1812951493592925,2.0522417330064444,4.559531573569744,67.37720489501953,72.56792,False,35
C,1,3,1.9732031326097526,4.6544302932980495,2.168979304539319,2.24294181920112,79.99783325195312,83.197464,False,35
D,2,4,2.0962798713678956,2.1083829221180057,4.6411968213264565,2.1336949348358836,76.24822998046875,88.371445,False,35
A,4,1,4.735344962285779,2.057714031819293,2.1379201823224934,2.074097645738264,68.17273712158203,75.93441,False,36
B,3,2,2.047274989786701,2.184450733655057,2.0530306290803857,4.560320469643686,69.03785705566406,80.1487,False,36
C,4,1,1.976358716905517,4.655219189371991,2.16976820061326,2.243730715275061,42.33831268313168,52.81881,True,36
D,5,4,2.097068767441837,2.109171818191947,4.641985717400398,2.1368505191316483,18.088514721535258,70.98233,True,36
A,1,1,4.738342767366755,2.058463483089537,2.1386696335927375,2.074847097008508,80.45211791992188,83.99645,False,37
B,3,4,2.048024441056945,2.1852001849253013,2.05378008035063,4.563318274724662,54.691078186035156,58.81453,False,37
C,3,3,1.9771081681757612,4.655968640642235,2.1727660056942364,2.2444801665453054,69.3570785522461,80.3808,False,37
D,4,4,2.097818218712081,2.109921269462191,4.642735168670642,2.1398483242126245,51.56259387027505,77.82217,True,37
A,1,1,4.7411906821936824,2.059175461796269,2.1393816122994695,2.07555907571524,80.16661071777344,83.99645,False,38
B,5,2,2.048736419763677,2.188048099752229,2.054492059057362,4.564030253431394,16.729689614452766,71.291306,True,38
C,2,3,1.977820146882493,4.6566806193489665,2.175613920521164,2.2451921452520374,74.52166748046875,82.758095,False,38
D,3,3,2.098530197418813,2.110633248168923,4.645583083497569,2.1405603029193565,55.1549186706543,55.479668,False,38
A,3,1,4.743896201279264,2.059851841567664,2.1400579920708647,2.076235455486635,72.14112091064453,77.99709,False,39
B,1,4,2.049412799535072,2.188724479523624,2.055168438828757,4.566735772516975,67.26351928710938,72.56792,False,39
C,4,1,1.9805256659680741,4.657356999120362,2.176290300292559,2.2458685250234325,42.208202508036784,52.81881,True,39
D,3,4,2.099206577190208,2.1113096279403183,4.646259463268964,2.1432658220049374,69.30091094970703,84.0758,False,39
A,1,4,4.744538762062089,2.0604944023504896,2.14070055285369,2.0788056986179373,60.1368293762207,64.84546,False,40
B,5,2,2.0500553603178977,2.191294722654926,2.0558109996115825,4.567378333299801,26.632440403859373,71.291306,True,40
C,1,4,1.9811682267508997,4.657999559903187,2.1769328610753846,2.2484387681547346,76.77738189697266,73.56107,False,40
D,4,4,2.0998491379730337,2.111952188723144,4.64690202405179,2.1458360651362396,50.8478211957305,77.82217,True,40
A,5,1,4.746980493036826,2.061104835094174,2.1413109855973746,2.0794161313616217,61.3170051574707,74.588745,False,41
B,5,1,2.0524970912926346,2.1919051553986106,2.056421432355267,4.567988766043485,18.38546447963264,48.130665,True,41
C,3,3,1.9817786594945839,4.658609992646872,2.1793745920501215,2.249049200898419,68.1495361328125,80.3808,False,41
D,1,4,2.100459570716718,2.1125626214668283,4.647512456795474,2.1482777961109765,78.56036376953125,90.206245,False,41
A,1,1,4.749300137462827,2.061684746200674,2.141890896703875,2.079996042468122,79.02132415771484,83.99645,False,42
B,1,4,2.0530770023991347,2.1924850665051108,2.057001343461767,4.570308410469486,67.16865539550781,72.56792,False,42
C,5,4,1.982358570601084,4.659189903753371,2.1799545031566216,2.251368845324419,17.84464477590262,48.83362,True,42
D,3,4,2.1010394818232183,2.1131425325733284,4.648092367901974,2.1505974405369765,68.32550048828125,84.0758,False,42
A,2,3,4.749851053014002,2.062235661751849,2.144094558908575,2.080546958019297,58.22203063964844,62.27324,False,43
B,2,3,2.0536279179503096,2.1930359820562857,2.0592050056664672,4.570859326020661,67.36408996582031,67.029045,False,43
C,3,3,1.982909486152259,4.659740819304546,2.182158165361322,2.251919760875594,67.5785903930664,80.3808,False,43
D,2,4,2.1015903973743932,2.1136934481245033,4.648643283453149,2.1528011027416767,73.50958251953125,88.371445,False,43
A,3,1,4.751944532108467,2.0627590315254656,2.1446179286821914,2.0810703277929132,70.56198120117188,77.99709,False,44
B,2,2,2.054151287723926,2.1951294611507506,2.0597283754400837,4.571382695794277,71.04048919677734,79.60584,False,44
C,1,2,1.9834328559258751,4.661834298399011,2.1826815351349382,2.2524431306492105,60.69187927246094,65.91968,False,44
D,1,4,2.1021137671480097,2.1142168178981198,4.649166653226765,2.1548945818361416,77.66244506835938,90.206245,False,44
A,5,1,4.753933337248208,2.063256232810401,2.145115129967127,2.081567529077849,60.37993621826172,74.588745,False,45
B,5,2,2.0546484890088617,2.1971182662904924,2.0602255767250193,4.571879897079213,15.608821255630685,71.291306,True,45
C,2,3,1.9839300572108105,4.662331499683947,2.18467034027468,2.252940331934146,72.35365295410156,82.758095,False,45
D,2,2,2.1026109684329453,2.1162056230378616,4.649663854511701,2.155391783121077,55.74015426635742,55.193363,False,45
A,5,4,4.754405678468896,2.06372857403109,2.145587471187816,2.0834568939606037,18.352510987228044,46.185944,True,46
B,1,4,2.0551208302295505,2.1975906075111813,2.060697917945708,4.573769261961967,67.070068359375,72.56792,False,46
C,1,3,1.9844023984314991,4.662803840904635,2.186559705157435,2.253412673154835,76.64402770996094,83.197464,False,46
D,2,4,2.103083309653634,2.1166779642585505,4.650136195732389,2.157281148003832,72.57997131347656,88.371445,False,46
A,2,2,4.754854402628551,2.065523470669707,2.1460361953474703,2.083905618120258,61.518959045410156,62.60695,False,47
B,4,2,2.055569554389205,2.1993855041497983,2.0611466421053626,4.574217986121622,50.5641557083889,77.882675,True,47
C,4,3,1.9848511225911534,4.6632525650642895,2.188354601796052,2.2538613973144894,49.71795731302349,76.048416,True,47
D,3,4,2.1035320338132886,2.117126688418205,4.650584919892044,2.159076044642449,66.839599609375,84.0758,False,47
A,2,1,4.756559554435237,2.0659497586213784,2.1464624832991417,2.0843319060719296,73.65119934082031,81.39359,False,48
B,2,2,2.0559958423408764,2.2010906559564845,2.061572930057034,4.574644274073293,70.0540771484375,79.60584,False,48
C,5,3,1.9852774105428248,4.663678853015961,2.190059753602738,2.254287685266161,17.93016771275744,71.73625,True,48
D,1,2,2.10395832176496,2.118831840224891,4.651011207843715,2.1595023325941205,58.25606918334961,62.41778,False,48
A,5,1,4.758179448651588,2.0663547321754665,2.1468674568532298,2.0847368796260177,59.52389144897461,74.588745,False,49
B,3,2,2.0564008158949645,2.2027105501728363,2.061977903611122,4.575049247627381,65.75133514404297,80.1487,False,49
C,2,4,1.9856823840969127,4.664083826570049,2.1904647271568263,2.2559075794825127,70.64024353027344,68.2095,False,49
D,5,4,2.104363295319048,2.119236813778979,4.651416181397803,2.1611222268104724,27.49588600925246,70.98233,True,49
A,5,4,4.758564173527971,2.0667394570518502,2.1472521817296135,2.086275779131552,18.31573661526905,46.185944,True,50
B,3,2,2.0567855407713482,2.2042494496783704,2.062362628487506,4.575433972503764,65.52421569824219,80.1487,False,50
C,4,3,1.9860671089732962,4.664468551446432,2.1920036266623604,2.2562923043588965,49.20697633113962,76.048416,True,50
D,4,4,2.104748020195432,2.119621538655363,4.651800906274186,2.1626611263160065,48.814499964039406,77.82217,True,50
A,3,1,4.760026128058229,2.067104945684415,2.147617670362178,2.0866412677641164,68.62974548339844,77.99709,False,51
B,4,2,2.057151029403913,2.205711404208628,2.0627281171200704,4.575799461136328,49.874975785345,77.882675,True,51
C,3,2,1.9864325976058606,4.665930505976689,2.192369115294925,2.256657792991461,54.80544662475586,54.970848,False,51
D,2,4,2.1051135088279964,2.1199870272879275,4.65216639490675,2.164123080846264,71.13047790527344,88.371445,False,51
A,1,1,4.761414984861974,2.067452159885351,2.1479648845631143,2.0869884819650526,76.26779174804688,83.99645,False,52
B,2,1,2.0585398862076576,2.206058618409564,2.0630753313210066,4.576146675337264,58.20108413696289,57.360752,False,52
C,2,3,1.9867798118067967,4.666277720177625,2.1937579720986697,2.2570050071923973,70.4087142944336,82.758095,False,52
D,5,4,2.1054607230289326,2.1203342414888637,4.652513609107686,2.1655119376500087,12.802984774425305,70.98233,True,52
A,1,1,4.762734398825531,2.0677820133762403,2.1482947380540036,2.087318335455942,76.01069641113281,83.99645,False,53
B,1,2,2.058869739698547,2.2073780323731214,2.063405184811896,4.576476528828153,72.71821594238281,78.01848,False,53
C,5,4,1.987109665297686,4.666607573668514,2.194087825589559,2.2583244211559546,15.741524788539897,48.83362,True,53
D,5,4,2.105790576519822,2.120664094979753,4.652843462598575,2.166831351613566,22.78873261781605,70.98233,True,53
A,3,4,4.763047759641876,2.0680953741925854,2.1486080988703486,2.0885717787213216,52.93114471435547,50.901417,False,54
B,5,2,2.059183100514892,2.208631475638501,2.063718545628241,4.576789889644498,31.0127047615153,71.291306,True,54
C,3,3,1.9874230261140309,4.6669209344848595,2.1953412688549387,2.2586377819722996,64.81587219238281,80.3808,False,54
D,2,4,2.106103937336167,2.120977455796098,4.65315682341492,2.1680847948789457,70.31602478027344,88.371445,False,54
A,1,1,4.764238530743986,2.068393066968113,2.1489057916458765,2.0888694714968494,75.50018310546875,83.99645,False,55
B,4,2,2.0594807932904198,2.2098222467406115,2.064016238403769,4.577087582420026,49.23274088581865,77.882675,True,55
C,1,1,1.9886137972161415,4.667218627260387,2.1956389616304666,2.2589354747478274,59.14971160888672,63.556725,False,55
D,4,1,2.1072947084382774,2.121275148571626,4.653454516190448,2.1683824876544735,39.858481541689834,54.142685,True,55
A,4,1,4.765369763290991,2.0686758751048644,2.1491885997826277,2.0891522796336006,62.968570709228516,75.93441,False,56
B,5,2,2.059763601427171,2.2109534792876167,2.06429904654052,4.577370390556777,20.430116589026103,71.291306,True,56
C,4,3,1.9888966053528927,4.6675014353971385,2.1967701941774718,2.2592182828845786,48.269985575384204,76.048416,True,56
D,2,4,2.1075775165750286,2.121557956708377,4.653737324327199,2.1695137202014787,69.80484771728516,88.371445,False,56
A,2,4,4.765638431020904,2.068944542834778,2.1494572675125414,2.0902269505532556,55.675933837890625,51.42427,False,57
B,5,2,2.0600322691570847,2.2120281502072716,2.0645677142704337,4.577639058286691,14.956482730756644,71.291306,True,57
C,2,3,1.9891652730828064,4.667770103127052,2.1978448650971267,2.2594869506144923,69.18302917480469,82.758095,False,57
D,2,4,2.1078461843049423,2.121826624438291,4.654005992057113,2.1705883911211337,69.55036926269531,88.371445,False,57
A,4,1,4.766659368394577,2.0691997771781963,2.1497125018559595,2.0904821848966737,62.560909271240234,75.93441,False,58
B,3,2,2.060287503500503,2.2130490875809437,2.064822948613852,4.577894292630108,63.85337829589844,80.1487,False,58
C,1,2,1.9894205074262246,4.668791040500724,2.198100099440545,2.2597421849579105,59.55671310424805,65.91968,False,58
D,5,4,2.1081014186483604,2.122081858781709,4.65426122640053,2.1716093284948057,23.41717305839728,70.98233,True,58
A,1,2,4.766901841020824,2.0701696676831847,2.1499549744822066,2.090724657522921,65.9113998413086,61.704597,False,59
B,3,2,2.06052997612675,2.214018978085932,2.065065421240099,4.578136765256356,63.657344818115234,80.1487,False,59
C,3,4,1.9896629800524717,4.669033513126972,2.198342572066792,2.260712075462899,61.97006607055664,61.187744,False,59
D,4,4,2.1083438912746075,2.122324331407956,4.654503699026778,2.172579218999794,47.31588547895939,77.82217,True,59
A,5,1,4.767823237000563,2.0704000166781196,2.1501853234771415,2.0909550065178557,57.512062072753906,74.588745,False,60
B,4,1,2.061451372106489,2.214249327080867,2.065295770235034,4.57836711425129,42.371789007852044,50.056854,True,60
C,3,3,1.9898933290474063,4.669263862121906,2.199263968046531,2.2609424244578338,63.55227279663086,80.3808,False,60
D,1,4,2.1085742402695424,2.122554680402891,4.654734048021712,2.1735006149795333,73.32774353027344,90.206245,False,60
A,5,1,4.7686985631813155,2.0706188482233077,2.1504041550223296,2.091173838063044,57.34955596923828,74.588745,False,61
B,1,3,2.061670203651677,2.214468158626055,2.066171096415786,4.578585945796478,72.66565704345703,68.679634,False,61
